Territorialidade,Posicao IDHM,IDHM,Posi  o IDHM Renda,IDHM Renda,Posi  o IDHM Educa  o,IDHM Educa  o,Posi  o IDHM Longevidade,IDHM Longevidade,Posi  o Mulheres,IDHM Mulheres,Posi  o Homens,IDHM Homens,Posi  o Negros,IDHM Negros,Posi  o Brancos,IDHM Brancos,Posi  o Urbano,IDHM Urbano,Posi  o Rural,IDHM Rural
S o Gabriel da Palha (ES),1638,0.709,621,0.739,2377,0.578,1419,0.835,,,,,,,,,,,,
Tupanciret  (RS),1638,0.709,1008,0.721,2035,0.596,1747,0.828,,,,,,,,,,,,
Jardin polis (SC),1638,0.709,1346,0.708,1744,0.611,1987,0.823,,,,,,,,,,,,
Dom Silv rio (MG),1638,0.709,2626,0.661,1271,0.636,846,0.847,,,,,,,,,,,,
Mag  (RJ),1638,0.709,2020,0.685,1473,0.626,1560,0.832,,,,,,,,,,,,
Rio Negro (MS),1638,0.709,1516,0.702,2245,0.585,222,0.869,,,,,,,,,,,,
Nova Era (MG),1638,0.709,2295,0.675,1209,0.639,1905,0.825,,,,,,,,,,,,
S o Sep  (RS),1665,0.708,1346,0.708,2427,0.576,181,0.871,,,,,,,,,,,,
S o Jos  de Ribamar (MA),1665,0.708,2984,0.642,355,0.7,3511,0.79,,,,,,,,,,,,
Crix s (GO),1665,0.708,1405,0.706,1492,0.625,2899,0.805,,,,,,,,,,,,
Romaria (MG),1665,0.708,989,0.722,1880,0.604,2504,0.813,,,,,,,,,,,,
Abadia de Goi s (GO),1665,0.708,1967,0.687,1556,0.622,1647,0.83,,,,,,,,,,,,
Conchal (SP),1665,0.708,1605,0.699,1703,0.614,1798,0.827,,,,,,,,,,,,
Coromandel (MG),1665,0.708,817,0.73,2671,0.565,425,0.86,,,,,,,,,,,,
Galv o (SC),1665,0.708,1449,0.704,1633,0.618,2407,0.815,,,,,,,,,,,,
Paulo Frontin (PR),1665,0.708,1939,0.688,1209,0.639,2849,0.806,,,,,,,,,,,,
Alvorada do Sul (PR),1665,0.708,1741,0.695,1649,0.617,1846,0.826,,,,,,,,,,,,
Juranda (PR),1665,0.708,2212,0.678,1209,0.639,2259,0.818,,,,,,,,,,,,
C ceres (MT),1665,0.708,1858,0.691,1329,0.633,2504,0.813,,,,,,,,,,,,
Mirim Doce (SC),1665,0.708,2061,0.683,1329,0.633,2112,0.821,,,,,,,,,,,,
Api na (SC),1665,0.708,715,0.735,2266,0.584,1798,0.827,,,,,,,,,,,,
Atilio Vivacqua (ES),1665,0.708,2592,0.663,1248,0.637,1128,0.841,,,,,,,,,,,,
Flor do Sert o (SC),1665,0.708,692,0.736,1802,0.608,3428,0.792,,,,,,,,,,,,
Campos Borges (RS),1665,0.708,1449,0.704,1670,0.616,2216,0.819,,,,,,,,,,,,
Arapor  (MG),1665,0.708,2266,0.676,1082,0.646,2504,0.813,,,,,,,,,,,,
Itai polis (SC),1665,0.708,1576,0.7,1835,0.606,1370,0.836,,,,,,,,,,,,
Pira  (RJ),1665,0.708,1190,0.714,1593,0.62,2990,0.803,,,,,,,,,,,,
Pedra do Indai  (MG),1665,0.708,1939,0.688,1744,0.611,1032,0.843,,,,,,,,,,,,
Madre de Deus (BA),1665,0.708,2428,0.67,758,0.667,3362,0.794,,,,,,,,,,,,
Ibirarema (SP),1665,0.708,1817,0.692,1433,0.628,2307,0.817,,,,,,,,,,,,
Alvorada (TO),1665,0.708,2230,0.677,1535,0.623,1032,0.843,,,,,,,,,,,,
Jate  (MS),1665,0.708,1136,0.716,2352,0.579,501,0.857,,,,,,,,,,,,
Dom Pedrito (RS),1665,0.708,1166,0.715,2245,0.585,792,0.848,,,,,,,,,,,,
Ibicar  (SC),1665,0.708,739,0.734,2233,0.586,1846,0.826,,,,,,,,,,,,
Pira  do Sul (PR),1665,0.708,1516,0.702,1615,0.619,2357,0.816,,,,,,,,,,,,
Tenente Portela (RS),1665,0.708,1318,0.709,1904,0.603,1647,0.83,,,,,,,,,,,,
Mallet (PR),1665,0.708,2119,0.681,1097,0.645,2696,0.809,,,,,,,,,,,,
S o Jo o Nepomuceno (MG),1665,0.708,1707,0.696,1957,0.6,722,0.85,,,,,,,,,,,,
Derrubadas (RS),1696,0.707,2562,0.664,1433,0.628,901,0.846,,,,,,,,,,,,
 urea (RS),1696,0.707,1166,0.715,2185,0.588,1128,0.841,,,,,,,,,,,,
Rio Novo (MG),1696,0.707,2405,0.671,1370,0.631,1419,0.835,,,,,,,,,,,,
Conselheiro Mairinck (PR),1696,0.707,2295,0.675,1020,0.65,2849,0.806,,,,,,,,,,,,
Sarapu  (SP),1696,0.707,1605,0.699,1577,0.621,2453,0.814,,,,,,,,,,,,
Iguatama (MG),1696,0.707,1741,0.695,1670,0.616,1905,0.825,,,,,,,,,,,,
Rancho Alegre (PR),1696,0.707,1858,0.691,1329,0.633,2754,0.808,,,,,,,,,,,,
Itaguaj  (PR),1696,0.707,2375,0.672,802,0.664,3475,0.791,,,,,,,,,,,,
Iracema do Oeste (PR),1696,0.707,2375,0.672,1395,0.63,1370,0.836,,,,,,,,,,,,
Jaguar o (RS),1696,0.707,1649,0.698,1802,0.608,1560,0.832,,,,,,,,,,,,
Santa B rbara (MG),1696,0.707,2266,0.676,1157,0.642,2357,0.816,,,,,,,,,,,,
Montes Claros de Goi s (GO),1696,0.707,1449,0.704,1556,0.622,2849,0.806,,,,,,,,,,,,
Estrela do Norte (GO),1696,0.707,1473,0.703,2084,0.593,792,0.848,,,,,,,,,,,,
Jandaia (GO),1696,0.707,1890,0.69,1492,0.625,2112,0.821,,,,,,,,,,,,
S o Jos  do Hort ncio (RS),1696,0.707,1111,0.717,2014,0.597,1951,0.824,,,,,,,,,,,,
Sul Brasil (SC),1696,0.707,1217,0.713,2045,0.595,1560,0.832,,,,,,,,,,,,
V rzea (PB),1696,0.707,3334,0.619,212,0.714,3129,0.8,,,,,,,,,,,,
Itirapu  (SP),1696,0.707,2343,0.673,1271,0.636,1846,0.826,,,,,,,,,,,,
Matutina (MG),1696,0.707,532,0.744,2953,0.552,451,0.859,,,,,,,,,,,,
Mina u (GO),1696,0.707,1858,0.691,1248,0.637,2990,0.803,,,,,,,,,,,,
Irati (SC),1696,0.707,1768,0.694,1782,0.609,1370,0.836,,,,,,,,,,,,
Arroio do Tigre (RS),1696,0.707,1346,0.708,2174,0.589,792,0.848,,,,,,,,,,,,
Rio Branco (MT),1696,0.707,1547,0.701,1649,0.617,2307,0.817,,,,,,,,,,,,
Le polis (PR),1696,0.707,2709,0.657,815,0.663,2562,0.812,,,,,,,,,,,,
Cachoeira de Minas (MG),1720,0.706,2343,0.673,1248,0.637,2112,0.821,,,,,,,,,,,,
Santa Juliana (MG),1720,0.706,897,0.726,2816,0.558,238,0.868,,,,,,,,,,,,
Barrac o (PR),1720,0.706,1136,0.716,2157,0.59,1515,0.833,,,,,,,,,,,,
Paim Filho (RS),1720,0.706,918,0.725,2816,0.558,204,0.87,,,,,,,,,,,,
Santo Ant nio do Pinhal (SP),1720,0.706,2020,0.685,1350,0.632,2562,0.812,,,,,,,,,,,,
Ivat  (PR),1720,0.706,2035,0.684,1176,0.641,2990,0.803,,,,,,,,,,,,
Coxilha (RS),1720,0.706,1797,0.693,2233,0.586,276,0.866,,,,,,,,,,,,
Campestre da Serra (RS),1720,0.706,1217,0.713,2844,0.557,22,0.886,,,,,,,,,,,,
Campos Novos Paulista (SP),1720,0.706,2428,0.67,1232,0.638,1951,0.824,,,,,,,,,,,,
Santa B rbara de Goi s (GO),1720,0.706,2490,0.667,1295,0.635,1560,0.832,,,,,,,,,,,,
Doutor Maur cio Cardoso (RS),1720,0.706,1372,0.707,2084,0.593,1183,0.84,,,,,,,,,,,,
Santa Cruz de Minas (MG),1720,0.706,2647,0.66,1271,0.636,1238,0.839,,,,,,,,,,,,
Costa Rica (MS),1720,0.706,1111,0.717,1835,0.606,2611,0.811,,,,,,,,,,,,
Jovi nia (GO),1720,0.706,1190,0.714,2045,0.595,1798,0.827,,,,,,,,,,,,
Ces rio Lange (SP),1720,0.706,1166,0.715,1744,0.611,2940,0.804,,,,,,,,,,,,
Moss medes (GO),1720,0.706,1707,0.696,1535,0.623,2611,0.811,,,,,,,,,,,,
Chu  (RS),1720,0.706,2266,0.676,898,0.658,3428,0.792,,,,,,,,,,,,
Laranjeiras do Sul (PR),1720,0.706,1318,0.709,2065,0.594,1419,0.835,,,,,,,,,,,,
Princesa (SC),1720,0.706,1547,0.701,1744,0.611,2161,0.82,,,,,,,,,,,,
Novo Barreiro (RS),1720,0.706,739,0.734,2065,0.594,2754,0.808,,,,,,,,,,,,
Ipor  (PR),1720,0.706,1707,0.696,1744,0.611,1704,0.829,,,,,,,,,,,,
Novo Horizonte (SC),1720,0.706,1576,0.7,2065,0.594,901,0.846,,,,,,,,,,,,
Planalto (PR),1720,0.706,1449,0.704,1271,0.636,3629,0.786,,,,,,,,,,,,
Capanema (PR),1720,0.706,1069,0.719,1744,0.611,3077,0.801,,,,,,,,,,,,
Dion sio Cerqueira (SC),1720,0.706,1473,0.703,1766,0.61,2161,0.82,,,,,,,,,,,,
Campo Florido (MG),1720,0.706,715,0.735,2816,0.558,473,0.858,,,,,,,,,,,,
Caratinga (MG),1720,0.706,1678,0.697,1904,0.603,1370,0.836,,,,,,,,,,,,
Lapa (PR),1720,0.706,1707,0.696,2045,0.595,792,0.848,,,,,,,,,,,,
Hidrol ndia (GO),1720,0.706,1372,0.707,1904,0.603,1798,0.827,,,,,,,,,,,,
Itatinga (SP),1720,0.706,2020,0.685,1766,0.61,1128,0.841,,,,,,,,,,,,
Caetan polis (MG),1720,0.706,2318,0.674,1649,0.617,943,0.845,,,,,,,,,,,,
Xambr  (PR),1720,0.706,1473,0.703,1835,0.606,1905,0.825,,,,,,,,,,,,
Douradoquara (MG),1720,0.706,1449,0.704,2133,0.591,846,0.847,,,,,,,,,,,,
Ibiraci (MG),1720,0.706,1707,0.696,2133,0.591,551,0.855,,,,,,,,,,,,
Crom nia (GO),1720,0.706,1817,0.692,1308,0.634,2990,0.803,,,,,,,,,,,,
Tr s Barras (SC),1720,0.706,2230,0.677,1209,0.639,2453,0.814,,,,,,,,,,,,
Guiratinga (MT),1756,0.705,2230,0.677,1248,0.637,2504,0.813,,,,,,,,,,,,
Ribeir o Grande (SP),1756,0.705,2971,0.643,634,0.676,2805,0.807,,,,,,,,,,,,
Santa Rosa da Serra (MG),1756,0.705,1741,0.695,2293,0.583,276,0.866,,,,,,,,,,,,
Avanhandava (SP),1756,0.705,1939,0.688,1535,0.623,2307,0.817,,,,,,,,,,,,
Restinga (SP),1756,0.705,2562,0.664,1209,0.639,1846,0.826,,,,,,,,,,,,
Jesu tas (PR),1756,0.705,2149,0.68,1687,0.615,1238,0.839,,,,,,,,,,,,
Planaltina do Paran  (PR),1756,0.705,2090,0.682,1082,0.646,3329,0.795,,,,,,,,,,,,
Itaju (SP),1756,0.705,1707,0.696,1712,0.613,1987,0.823,,,,,,,,,,,,
Inaj  (PR),1756,0.705,2266,0.676,1176,0.641,2805,0.807,,,,,,,,,,,,
Santa F  (PR),1756,0.705,1008,0.721,1945,0.601,2754,0.808,,,,,,,,,,,,
Carmo do Parana ba (MG),1756,0.705,1217,0.713,2531,0.571,390,0.861,,,,,,,,,,,,
Belmonte (SC),1756,0.705,1605,0.699,1744,0.611,2161,0.82,,,,,,,,,,,,
Santa Rosa do Sul (SC),1756,0.705,1516,0.702,1633,0.618,2849,0.806,,,,,,,,,,,,
Itamonte (MG),1756,0.705,1741,0.695,2133,0.591,610,0.853,,,,,,,,,,,,
Borebi (SP),1756,0.705,2318,0.674,1687,0.615,901,0.846,,,,,,,,,,,,
Alto Taquari (MT),1756,0.705,692,0.736,2531,0.571,1515,0.833,,,,,,,,,,,,
Bofete (SP),1756,0.705,1576,0.7,1782,0.609,2112,0.821,,,,,,,,,,,,
Santa Tereza do Oeste (PR),1756,0.705,1996,0.686,1350,0.632,2754,0.808,,,,,,,,,,,,
Uni o do Oeste (SC),1756,0.705,1473,0.703,1835,0.606,1987,0.823,,,,,,,,,,,,
Vila L ngaro (RS),1756,0.705,297,0.759,2967,0.551,1238,0.839,,,,,,,,,,,,
Aren polis (MT),1776,0.704,2230,0.677,1032,0.649,3400,0.793,,,,,,,,,,,,
S o Jos  da Varginha (MG),1776,0.704,2090,0.682,2014,0.597,501,0.857,,,,,,,,,,,,
Boa Esperan a (MG),1776,0.704,1768,0.694,2210,0.587,551,0.855,,,,,,,,,,,,
Nova Maril ndia (MT),1776,0.704,2149,0.68,1535,0.623,1987,0.823,,,,,,,,,,,,
Alto Araguaia (MT),1776,0.704,1248,0.712,1727,0.612,3026,0.802,,,,,,,,,,,,
S o Miguel do Igua u (PR),1776,0.704,897,0.726,2185,0.588,2259,0.818,,,,,,,,,,,,
Ivol ndia (GO),1776,0.704,2149,0.68,1556,0.622,1905,0.825,,,,,,,,,,,,
Campina da Lagoa (PR),1776,0.704,2230,0.677,1535,0.623,1704,0.829,,,,,,,,,,,,
Mateus Leme (MG),1776,0.704,1939,0.688,1880,0.604,1238,0.839,,,,,,,,,,,,
Rancho Alegre D'Oeste (PR),1776,0.704,2343,0.673,1492,0.625,1603,0.831,,,,,,,,,,,,
Ca apava do Sul (RS),1776,0.704,1605,0.699,2245,0.585,551,0.855,,,,,,,,,,,,
Salto do Itarar  (PR),1776,0.704,2626,0.661,1370,0.631,1370,0.836,,,,,,,,,,,,
Chapad o do Lageado (SC),1776,0.704,2149,0.68,1670,0.616,1515,0.833,,,,,,,,,,,,
Parob  (RS),1776,0.704,1576,0.7,2729,0.562,22,0.886,,,,,,,,,,,,
Quara  (RS),1776,0.704,2343,0.673,1782,0.609,643,0.852,,,,,,,,,,,,
Quissam  (RJ),1776,0.704,1649,0.698,1766,0.61,2112,0.821,,,,,,,,,,,,
S o Pedro do Paran  (PR),1776,0.704,2212,0.678,1670,0.616,1370,0.836,,,,,,,,,,,,
Canas (SP),1776,0.704,2908,0.646,620,0.677,3252,0.797,,,,,,,,,,,,
Papanduva (SC),1776,0.704,1858,0.691,1904,0.603,1370,0.836,,,,,,,,,,,,
Lontras (SC),1776,0.704,715,0.735,2352,0.579,2161,0.82,,,,,,,,,,,,
Salto Grande (SP),1776,0.704,2562,0.664,1248,0.637,1905,0.825,,,,,,,,,,,,
Ibirit  (MG),1776,0.704,2343,0.673,1670,0.616,1183,0.84,,,,,,,,,,,,
Santa M nica (PR),1776,0.704,1649,0.698,1395,0.63,3428,0.792,,,,,,,,,,,,
C ssia (MG),1776,0.704,961,0.723,2427,0.576,1315,0.837,,,,,,,,,,,,
Tabatinga (SP),1776,0.704,1576,0.7,1782,0.609,2259,0.818,,,,,,,,,,,,
Siqueira Campos (PR),1776,0.704,1346,0.708,2185,0.588,1238,0.839,,,,,,,,,,,,
Euclides da Cunha Paulista (SP),1776,0.704,2592,0.663,945,0.655,3026,0.802,,,,,,,,,,,,
Lad rio (MS),1776,0.704,1967,0.687,1633,0.618,2064,0.822,,,,,,,,,,,,
Araruna (PR),1776,0.704,2020,0.685,1050,0.648,3649,0.785,,,,,,,,,,,,
Nova Xavantina (MT),1776,0.704,1217,0.713,1712,0.613,3129,0.8,,,,,,,,,,,,
Buritin polis (GO),1776,0.704,870,0.727,2133,0.591,2504,0.813,,,,,,,,,,,,
Ara ariguama (SP),1776,0.704,1111,0.717,2014,0.597,2453,0.814,,,,,,,,,,,,
Palma Sola (SC),1776,0.704,1576,0.7,1556,0.622,3129,0.8,,,,,,,,,,,,
Mirassol D'Oeste (MT),1776,0.704,961,0.723,2111,0.592,2357,0.816,,,,,,,,,,,,
Campina Verde (MG),1776,0.704,1190,0.714,2729,0.562,238,0.868,,,,,,,,,,,,
Maria Helena (PR),1811,0.703,2149,0.68,1822,0.607,1075,0.842,,,,,,,,,,,,
Camapu  (MS),1811,0.703,1166,0.715,2035,0.596,2307,0.817,,,,,,,,,,,,
Jeriquara (SP),1811,0.703,2149,0.68,1433,0.628,2453,0.814,,,,,,,,,,,,
Palma (MG),1811,0.703,2592,0.663,1535,0.623,1128,0.841,,,,,,,,,,,,
Riol ndia (SP),1811,0.703,2230,0.677,1416,0.629,2307,0.817,,,,,,,,,,,,
Goian polis (GO),1811,0.703,2212,0.678,1593,0.62,1905,0.825,,,,,,,,,,,,
Macuco (RJ),1811,0.703,1967,0.687,1370,0.631,3077,0.801,,,,,,,,,,,,
Tr s Palmeiras (RS),1811,0.703,478,0.747,2776,0.56,1560,0.832,,,,,,,,,,,,
Concei  o dos Ouros (MG),1811,0.703,2466,0.668,1633,0.618,1075,0.842,,,,,,,,,,,,
Entre Rios do Sul (RS),1811,0.703,1318,0.709,2509,0.572,501,0.857,,,,,,,,,,,,
Fern o (SP),1811,0.703,2466,0.668,1649,0.617,1032,0.843,,,,,,,,,,,,
Uruana (GO),1811,0.703,2535,0.665,1308,0.634,1951,0.824,,,,,,,,,,,,
Porangaba (SP),1811,0.703,1707,0.696,2377,0.578,319,0.864,,,,,,,,,,,,
Tapejara (PR),1811,0.703,1768,0.694,1727,0.612,2216,0.819,,,,,,,,,,,,
Perdig o (MG),1811,0.703,1268,0.711,2352,0.579,1032,0.843,,,,,,,,,,,,
Coxim (MS),1811,0.703,1069,0.719,2352,0.579,1370,0.836,,,,,,,,,,,,
S o Pedro do Turvo (SP),1811,0.703,2626,0.661,1271,0.636,1846,0.826,,,,,,,,,,,,
Iguatu (PR),1811,0.703,2375,0.672,1248,0.637,2562,0.812,,,,,,,,,,,,
Guarant  do Norte (MT),1811,0.703,1817,0.692,1782,0.609,1846,0.826,,,,,,,,,,,,
Lagoa Formosa (MG),1811,0.703,1111,0.717,2304,0.582,1560,0.832,,,,,,,,,,,,
Ibat  (SP),1811,0.703,2119,0.681,1457,0.627,2453,0.814,,,,,,,,,,,,
Pontes E Lacerda (MT),1811,0.703,1268,0.711,1857,0.605,2805,0.807,,,,,,,,,,,,
Itarar  (SP),1811,0.703,2466,0.668,1032,0.649,2990,0.803,,,,,,,,,,,,
Boa Vista do Cadeado (RS),1811,0.703,1817,0.692,2157,0.59,702,0.851,,,,,,,,,,,,
Araquari (SC),1811,0.703,1707,0.696,1921,0.602,1647,0.83,,,,,,,,,,,,
Caseiros (RS),1811,0.703,1707,0.696,1957,0.6,1515,0.833,,,,,,,,,,,,
Castro (PR),1811,0.703,1449,0.704,1957,0.6,1987,0.823,,,,,,,,,,,,
Francisco Morato (SP),1811,0.703,2667,0.659,1068,0.647,2407,0.815,,,,,,,,,,,,
Campo Novo (RS),1811,0.703,2230,0.677,2084,0.593,276,0.866,,,,,,,,,,,,
Iporanga (SP),1811,0.703,3068,0.637,738,0.668,2357,0.816,,,,,,,,,,,,
Gua u  (ES),1811,0.703,1858,0.691,2045,0.595,901,0.846,,,,,,,,,,,,
Campos Altos (MG),1842,0.702,1890,0.69,2304,0.582,425,0.86,,,,,,,,,,,,
Nonoai (RS),1842,0.702,1473,0.703,2133,0.591,1515,0.833,,,,,,,,,,,,
Inha ma (MG),1842,0.702,2709,0.657,1517,0.624,943,0.845,,,,,,,,,,,,
Vitorino (PR),1842,0.702,848,0.728,2304,0.582,2259,0.818,,,,,,,,,,,,
Luizi nia (SP),1842,0.702,2090,0.682,1535,0.623,2407,0.815,,,,,,,,,,,,
Baixo Guandu (ES),1842,0.702,2428,0.67,1248,0.637,2611,0.811,,,,,,,,,,,,
Pitanga (PR),1842,0.702,1707,0.696,1577,0.621,3026,0.802,,,,,,,,,,,,
Dion sio (MG),1842,0.702,2822,0.651,1068,0.647,2112,0.821,,,,,,,,,,,,
Botelhos (MG),1842,0.702,1516,0.702,2600,0.568,238,0.868,,,,,,,,,,,,
Pontalinda (SP),1842,0.702,2230,0.677,1880,0.604,846,0.847,,,,,,,,,,,,
Guapirama (PR),1842,0.702,2513,0.666,1097,0.645,2899,0.805,,,,,,,,,,,,
Para ba do Sul (RJ),1842,0.702,1678,0.697,1766,0.61,2562,0.812,,,,,,,,,,,,
Adel ndia (GO),1842,0.702,2562,0.664,1556,0.622,1370,0.836,,,,,,,,,,,,
Muitos Cap es (RS),1842,0.702,1268,0.711,2816,0.558,147,0.873,,,,,,,,,,,,
Itagua u (ES),1842,0.702,2375,0.672,1176,0.641,3026,0.802,,,,,,,,,,,,
Nortel ndia (MT),1842,0.702,2789,0.653,738,0.668,3400,0.793,,,,,,,,,,,,
Maria da F  (MG),1842,0.702,2908,0.646,1248,0.637,1075,0.842,,,,,,,,,,,,
Viadutos (RS),1842,0.702,1166,0.715,2757,0.561,319,0.864,,,,,,,,,,,,
Ariquemes (RO),1842,0.702,1136,0.716,1957,0.6,2849,0.806,,,,,,,,,,,,
Santo Ant nio da Alegria (SP),1842,0.702,1890,0.69,1880,0.604,1647,0.83,,,,,,,,,,,,
Correia Pinto (SC),1842,0.702,1547,0.701,1703,0.614,2940,0.804,,,,,,,,,,,,
Edealina (GO),1842,0.702,989,0.722,2065,0.594,2754,0.808,,,,,,,,,,,,
Morro Redondo (RS),1842,0.702,1069,0.719,2844,0.557,319,0.864,,,,,,,,,,,,
Santo Ant nio de Posse (SP),1842,0.702,1091,0.718,2427,0.576,1281,0.838,,,,,,,,,,,,
Primeiro de Maio (PR),1866,0.701,1741,0.695,1977,0.599,1846,0.826,,,,,,,,,,,,
Santa Terezinha de Goi s (GO),1866,0.701,2883,0.647,1112,0.644,1846,0.826,,,,,,,,,,,,
Brazabrantes (GO),1866,0.701,2230,0.677,1687,0.615,1846,0.826,,,,,,,,,,,,
Santa Rosa de Goi s (GO),1866,0.701,2971,0.643,1295,0.635,986,0.844,,,,,,,,,,,,
Taba  (RS),1866,0.701,1768,0.694,2045,0.595,1464,0.834,,,,,,,,,,,,
Centen rio (RS),1866,0.701,1372,0.707,2578,0.569,527,0.856,,,,,,,,,,,,
Dona Eus bia (MG),1866,0.701,2035,0.684,1995,0.598,1128,0.841,,,,,,,,,,,,
Eus bio (CE),1866,0.701,1576,0.7,1577,0.621,3362,0.794,,,,,,,,,,,,
Brasil ndia (MS),1866,0.701,1008,0.721,2557,0.57,1315,0.837,,,,,,,,,,,,
Nova Ponte (MG),1866,0.701,739,0.734,2729,0.562,1419,0.835,,,,,,,,,,,,
Florest polis (PR),1866,0.701,2090,0.682,1492,0.625,2805,0.807,,,,,,,,,,,,
Alto Gar as (MT),1866,0.701,1372,0.707,2293,0.583,1419,0.835,,,,,,,,,,,,
Luzi nia (GO),1866,0.701,1915,0.689,1921,0.602,1603,0.831,,,,,,,,,,,,
Colinas do Tocantins (TO),1866,0.701,1890,0.69,1703,0.614,2453,0.814,,,,,,,,,,,,
Araguainha (MT),1866,0.701,2842,0.65,1457,0.627,986,0.844,,,,,,,,,,,,
S o Sebasti o da Grama (SP),1866,0.701,1915,0.689,1782,0.609,2161,0.82,,,,,,,,,,,,
Marcel ndia (MT),1866,0.701,1576,0.7,1880,0.604,2504,0.813,,,,,,,,,,,,
Travesseiro (RS),1866,0.701,715,0.735,2798,0.559,1238,0.839,,,,,,,,,,,,
Senador Canedo (GO),1866,0.701,2266,0.676,1649,0.617,1798,0.827,,,,,,,,,,,,
Guaran sia (MG),1866,0.701,1797,0.693,2174,0.589,943,0.845,,,,,,,,,,,,
Bom Jesus de Goi s (GO),1866,0.701,1605,0.699,2490,0.573,425,0.86,,,,,,,,,,,,
Braganey (PR),1866,0.701,1915,0.689,1457,0.627,3252,0.797,,,,,,,,,,,,
Prat nia (SP),1866,0.701,2119,0.681,1329,0.633,3214,0.798,,,,,,,,,,,,
Ipameri (GO),1866,0.701,1268,0.711,2185,0.588,1987,0.823,,,,,,,,,,,,
Nanuque (MG),1866,0.701,2513,0.666,1782,0.609,722,0.85,,,,,,,,,,,,
Ponta Por  (MS),1866,0.701,1346,0.708,1995,0.598,2562,0.812,,,,,,,,,,,,
Dian polis (TO),1866,0.701,2343,0.673,1517,0.624,2064,0.822,,,,,,,,,,,,
Taquarituba (SP),1866,0.701,1576,0.7,1835,0.606,2611,0.811,,,,,,,,,,,,
Presidente Oleg rio (MG),1866,0.701,2182,0.679,1744,0.611,1603,0.831,,,,,,,,,,,,
Patos (PB),1866,0.701,2490,0.667,1433,0.628,2112,0.821,,,,,,,,,,,,
Morro Grande (SC),1866,0.701,565,0.742,3029,0.548,846,0.847,,,,,,,,,,,,
Ribeir o do Pinhal (PR),1866,0.701,2035,0.684,1744,0.611,1951,0.824,,,,,,,,,,,,
Mariana Pimentel (RS),1866,0.701,1547,0.701,2600,0.568,276,0.866,,,,,,,,,,,,
Te filo Otoni (MG),1866,0.701,1649,0.698,1995,0.598,1951,0.824,,,,,,,,,,,,
Campo Magro (PR),1866,0.701,2020,0.685,1822,0.607,1747,0.828,,,,,,,,,,,,
Barra Bonita (SC),1866,0.701,1817,0.692,1977,0.599,1647,0.83,,,,,,,,,,,,
Castel ndia (GO),1866,0.701,937,0.724,2377,0.578,1987,0.823,,,,,,,,,,,,
Indiara (GO),1866,0.701,1768,0.694,2084,0.593,1315,0.837,,,,,,,,,,,,
Bocai va (MG),1904,0.7,2871,0.648,1112,0.644,2064,0.822,,,,,,,,,,,,
Juqui  (SP),1904,0.7,2767,0.654,1248,0.637,1987,0.823,,,,,,,,,,,,
Carm polis de Minas (MG),1904,0.7,1768,0.694,2304,0.582,722,0.85,,,,,,,,,,,,
Para so (SC),1904,0.7,848,0.728,2671,0.565,1515,0.833,,,,,,,,,,,,
Sang o (SC),1904,0.7,918,0.725,2908,0.554,610,0.853,,,,,,,,,,,,
Corumb  (MS),1904,0.7,1547,0.701,2233,0.586,1464,0.834,,,,,,,,,,,,
Salgado Filho (PR),1904,0.7,2090,0.682,1880,0.604,1603,0.831,,,,,,,,,,,,
Ubiretama (RS),1904,0.7,1858,0.691,1712,0.613,2696,0.809,,,,,,,,,,,,
Cacequi (RS),1904,0.7,2149,0.68,1473,0.626,2805,0.807,,,,,,,,,,,,
Joaquim T vora (PR),1904,0.7,1605,0.699,1712,0.613,3077,0.801,,,,,,,,,,,,
Ubarana (SP),1904,0.7,2375,0.672,1880,0.604,986,0.844,,,,,,,,,,,,
Vidal Ramos (SC),1904,0.7,848,0.728,2185,0.588,3026,0.802,,,,,,,,,,,,
Alto Alegre (SP),1904,0.7,2061,0.683,1670,0.616,2307,0.817,,,,,,,,,,,,
Concei  o do Par  (MG),1904,0.7,1967,0.687,2185,0.588,722,0.85,,,,,,,,,,,,
Piraquara (PR),1904,0.7,1915,0.689,2475,0.574,222,0.869,,,,,,,,,,,,
Floriano (PI),1904,0.7,2266,0.676,1329,0.633,3026,0.802,,,,,,,,,,,,
Cachoeiras de Macacu (RJ),1904,0.7,1741,0.695,1904,0.603,2307,0.817,,,,,,,,,,,,
Boa Esperan a do Igua u (PR),1904,0.7,2343,0.673,1921,0.602,792,0.848,,,,,,,,,,,,
Americano do Brasil (GO),1904,0.7,2448,0.669,1370,0.631,2504,0.813,,,,,,,,,,,,
Porto Amazonas (PR),1904,0.7,1346,0.708,2045,0.595,2407,0.815,,,,,,,,,,,,
Auril ndia (GO),1904,0.7,2626,0.661,1593,0.62,1370,0.836,,,,,,,,,,,,
Andrel ndia (MG),1904,0.7,2295,0.675,1577,0.621,2259,0.818,,,,,,,,,,,,
Santa Mariana (PR),1904,0.7,2035,0.684,1517,0.624,2940,0.804,,,,,,,,,,,,
Navira  (MS),1904,0.7,1166,0.715,2014,0.597,2990,0.803,,,,,,,,,,,,
Boqueir o do Le o (RS),1904,0.7,918,0.725,2729,0.562,1032,0.843,,,,,,,,,,,,
Santo Ant nio de Jesus (BA),1904,0.7,2230,0.677,1556,0.622,2407,0.815,,,,,,,,,,,,
S o Roque do Cana  (ES),1904,0.7,1996,0.686,1535,0.623,2990,0.803,,,,,,,,,,,,
